Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Roman Anthony,BOS,OF,21,71,257,48,75,18,1,8,32,4,1,40,84,0,1,5,.292,.396,.463,.859
Heriberto Hernandez,MIA,OF,26,87,256,40,68,12,1,10,45,1,1,31,77,0,4,3,.266,.347,.438,.785
Eli White,ATL,OF,31,105,256,43,60,8,3,10,35,10,1,11,70,1,1,2,.234,.270,.406,.676
Keibert Ruiz,WSH,C,27,68,255,19,63,12,0,2,25,0,2,8,26,0,1,3,.247,.277,.318,.595
Elias Diaz,SD,C,35,106,255,34,52,7,0,9,29,0,0,21,74,5,0,2,.204,.270,.337,.607
Colson Montgomery,CWS,SS,24,71,255,43,61,9,1,21,55,0,0,25,83,0,1,2,.239,.311,.529,.840
Mitch Garver,SEA,C,35,87,254,29,53,5,1,9,30,3,0,30,80,0,3,3,.209,.297,.343,.640
Kyle Teel,CWS,C,24,78,253,38,69,11,0,8,35,3,1,37,77,1,1,5,.273,.375,.411,.786
Henry Davis,PIT,C,26,87,252,25,42,7,0,7,22,2,1,18,76,3,3,5,.167,.234,.278,.512
Giancarlo Stanton,NYY,OF,36,77,249,36,68,8,0,24,66,0,0,29,96,0,1,1,.273,.350,.594,.944
Yoan Moncada,LAA,3B,30,84,248,39,58,13,2,12,35,0,0,32,75,0,2,7,.234,.336,.448,.784
Daulton Varsho,TOR,OF,29,71,248,43,59,13,2,20,55,2,0,17,77,0,5,1,.238,.284,.548,.832
Francisco Alvarez,NYM,C,24,76,246,32,63,12,1,11,32,0,0,27,73,0,0,4,.256,.339,.447,.786
Pavin Smith,ARI,1B,30,87,244,36,63,17,1,8,28,2,2,41,92,0,2,0,.258,.362,.434,.796
Edmundo Sosa,PHI,3B,30,89,243,30,67,12,1,11,39,1,1,10,56,3,2,2,.276,.307,.469,.776
Dominic Canzone,SEA,OF,28,82,243,30,73,11,0,11,32,3,1,20,59,0,2,3,.300,.358,.481,.839
Jose Caballero,TB,SS,29,86,235,37,53,12,1,2,27,34,8,33,80,3,1,3,.226,.327,.311,.638
Adam Frazier,PIT,2B,34,78,235,22,60,10,0,3,21,7,5,17,45,1,3,6,.255,.318,.336,.654
Enrique Hernandez,LAD,3B,34,93,232,30,47,8,0,10,35,0,0,18,68,1,5,0,.203,.255,.366,.621
Will Benson,CIN,OF,27,90,230,31,52,8,2,12,41,2,2,16,67,0,6,1,.226,.273,.435,.708
Blaze Alexander,ARI,3B,26,74,230,31,53,12,1,7,28,4,6,22,86,3,1,10,.230,.323,.383,.706
Kristian Campbell,BOS,2B,23,67,229,24,51,10,0,6,21,2,1,29,72,0,1,4,.223,.319,.345,.664
Cole Young,SEA,2B,22,77,223,24,47,7,1,4,24,1,0,28,47,2,2,2,.211,.302,.305,.607
Danny Jansen,TB,C,30,73,221,28,45,8,0,11,29,0,0,33,68,1,1,3,.204,.314,.389,.703
Andrew Vaughn,MIL,1B,27,64,221,26,68,14,0,9,46,0,0,24,37,1,5,3,.308,.375,.493,.868
Miguel Andujar,ATH,OF,31,60,218,22,65,10,1,6,27,1,0,11,30,0,2,0,.298,.329,.436,.765
Dylan Carlson,BAL,OF,27,83,217,17,44,9,1,6,20,3,3,21,54,0,1,2,.203,.278,.336,.614
Tyler Fitzgerald,SF,2B,28,72,217,19,47,10,1,4,14,9,4,17,70,6,1,2,.217,.278,.327,.605
Alexander Canario,PIT,OF,25,87,216,25,47,6,1,6,20,3,1,17,80,0,1,0,.218,.274,.338,.612
Travis d'Arnaud,LAA,C,37,69,213,16,42,13,0,6,21,0,0,13,74,0,1,4,.197,.255,.343,.598
Jac Caglianone,KC,OF,23,62,210,19,33,6,1,7,18,1,0,18,52,0,0,4,.157,.237,.295,.532
Jakob Marsee,MIA,OF,24,55,209,28,61,18,3,5,33,14,6,22,48,0,1,2,.292,.363,.478,.841
Max Muncy,ATH,3B,23,63,206,17,44,7,0,9,23,1,1,10,68,0,1,3,.214,.259,.379,.638
Drew Waters,KC,OF,27,71,206,21,50,6,3,1,14,5,3,11,60,0,0,2,.243,.288,.316,.604
Jake McCarthy,ARI,OF,28,67,206,18,42,7,5,4,20,6,0,10,40,3,1,2,.204,.247,.345,.592
Ezequiel Duran,TEX,1B,26,90,205,16,46,14,0,0,14,11,2,8,55,1,1,4,.224,.266,.293,.559
Dominic Smith,SF,1B,30,63,204,26,58,12,0,5,33,2,0,15,42,0,4,2,.284,.333,.417,.750
Eugenio Suarez,SEA,3B,34,53,201,27,38,9,0,13,31,3,1,17,79,0,1,1,.189,.255,.428,.683
Carlos Correa,HOU,3B,31,51,200,23,58,10,0,6,21,0,0,19,45,0,0,1,.290,.355,.430,.785
Tim Tawa,ARI,2B,26,74,199,29,40,8,0,7,18,8,2,20,64,2,3,1,.201,.274,.347,.621
Otto Kemp,PHI,3B,26,62,197,26,46,11,0,8,28,2,2,12,67,0,2,7,.234,.298,.411,.709
Alex Verdugo,ATL,OF,29,56,197,21,47,10,0,0,12,1,0,14,31,0,0,2,.239,.296,.289,.585
Alex Call,WSH,OF,31,72,197,30,54,9,2,3,26,1,1,26,36,5,3,6,.274,.371,.386,.757
Robert Hassell,WSH,OF,24,70,197,22,44,9,0,3,18,4,0,8,62,0,0,1,.223,.257,.315,.572
Kameron Misner,TB,OF,28,71,197,27,42,9,1,5,22,8,1,16,69,1,2,1,.213,.273,.345,.618
Evan Carter,TEX,OF,23,63,194,31,48,9,2,5,25,14,2,19,41,0,0,7,.247,.336,.392,.728
Josh Naylor,SEA,1B,28,54,194,32,58,10,0,9,33,19,0,11,34,0,1,2,.299,.341,.490,.831
Anthony Santander,TOR,OF,31,54,194,16,34,5,0,6,18,0,0,25,61,0,1,1,.175,.271,.294,.565
Paul DeJong,WSH,3B,32,57,193,18,44,10,0,6,23,4,0,11,70,0,3,1,.228,.269,.373,.642
Dylan Moore,SEA,2B,33,88,192,29,37,5,0,9,19,12,4,19,76,0,2,0,.193,.263,.359,.622
Freddy Fermin,KC,C,30,67,192,17,49,7,0,3,12,1,2,13,37,1,0,2,.255,.309,.339,.648
Parker Meadows,DET,OF,26,58,191,22,41,6,2,4,16,4,0,21,56,0,1,0,.215,.291,.330,.621
Christian Vazquez,MIN,C,35,65,190,14,36,7,0,3,14,1,1,18,35,0,2,4,.189,.271,.274,.545
Josh Rojas,CWS,3B,31,69,189,14,34,9,0,2,11,4,1,19,48,1,2,0,.180,.252,.259,.511
Davis Schneider,TOR,OF,27,82,188,33,44,5,0,11,31,3,1,36,60,0,1,2,.234,.361,.436,.797
Nacho Alvarez,ATL,3B,22,58,188,18,44,12,0,2,15,0,0,12,49,2,1,5,.234,.296,.330,.626
Masataka Yoshida,BOS,DH,32,55,188,16,50,11,0,4,26,3,0,10,24,0,4,3,.266,.307,.388,.695
Ryan Ritter,COL,SS,25,60,187,22,45,9,3,1,18,3,1,10,61,4,1,5,.241,.296,.337,.633
Andrew Vaughn,CWS,1B,27,48,185,9,35,8,0,5,19,0,0,7,43,0,1,0,.189,.218,.314,.532
Adam Frazier,KC,2B,34,56,184,21,52,10,0,4,23,1,1,9,36,0,2,2,.283,.320,.402,.722
Jake Bauers,MIL,1B,30,86,183,28,43,9,0,7,28,8,1,32,59,0,1,2,.235,.353,.399,.752
Luke Raley,SEA,OF,31,73,183,23,37,8,0,4,19,2,1,19,64,3,1,13,.202,.319,.311,.630
Max Schuemann,ATH,2B,28,101,183,20,36,4,2,2,13,7,1,22,35,3,1,4,.197,.295,.273,.568
Luke Keaschall,MIN,2B,23,49,182,25,55,14,0,4,28,14,3,19,29,0,1,5,.302,.382,.445,.827
Edouard Julien,MIN,2B,26,64,182,13,40,10,0,3,12,0,3,22,61,1,1,2,.220,.309,.324,.633
Rob Refsnyder,BOS,OF,34,70,182,29,49,12,0,9,30,3,0,24,54,0,2,1,.269,.354,.484,.838
Ramon Laureano,SD,OF,31,50,182,27,49,9,2,9,30,3,1,13,47,0,1,2,.269,.323,.489,.812
Tyler O'Neill,BAL,OF,30,54,181,22,36,6,1,9,26,4,0,22,51,0,3,3,.199,.292,.392,.684
Gio Urshela,ATH,3B,34,59,181,10,43,14,1,0,20,0,1,13,40,2,1,0,.238,.287,.326,.613
Harrison Bader,PHI,OF,31,50,177,30,54,11,1,5,16,1,3,12,55,0,1,4,.305,.361,.463,.824
David Hamilton,BOS,2B,28,91,177,27,35,4,1,6,19,22,6,13,47,3,0,1,.198,.257,.333,.590
Andy Ibanez,DET,3B,32,91,176,24,42,8,0,4,21,4,1,12,26,0,1,4,.239,.301,.352,.653
Randal Grichuk,ARI,OF,34,70,175,25,42,15,1,7,22,0,1,10,39,0,3,0,.240,.277,.457,.734
Luisangel Acuna,NYM,2B,24,95,175,30,41,7,0,0,8,16,1,13,37,2,1,2,.234,.293,.274,.567
Christian Koss,SF,SS,28,76,174,25,46,9,0,3,23,4,1,9,45,3,2,3,.264,.309,.368,.677
Darell Hernaiz,ATH,3B,24,51,173,17,40,5,1,2,16,3,4,17,24,2,5,0,.231,.292,.306,.598
Rowdy Tellez,SEA,1B,31,62,173,20,36,6,0,11,27,1,0,8,49,0,2,2,.208,.249,.434,.683
Orlando Arcia,COL,SS,31,62,172,12,35,6,1,3,12,0,1,9,39,0,1,0,.203,.242,.302,.544
Luis Matos,SF,OF,24,57,172,26,38,9,1,8,22,4,0,11,27,0,1,0,.221,.266,.424,.690
Jeremiah Jackson,BAL,OF,25,48,170,20,47,10,2,5,21,0,2,11,50,0,0,2,.276,.328,.447,.775
Justin Turner,CHC,1B,41,80,169,14,37,7,0,3,18,2,0,17,37,0,4,1,.219,.288,.314,.602
Ronny Mauricio,NYM,3B,24,61,168,19,38,6,0,6,10,4,0,15,54,0,0,1,.226,.293,.369,.662
Nick Loftin,KC,OF,27,67,168,17,35,9,2,4,20,1,1,14,27,1,2,3,.208,.278,.357,.635
Connor Wong,BOS,C,29,63,168,16,32,8,0,0,7,2,1,16,42,1,2,1,.190,.262,.238,.500
Jake Fraley,CIN,OF,30,67,168,29,39,8,0,6,23,4,2,24,41,0,0,1,.232,.332,.387,.719
Jose Herrera,ARI,C,29,58,166,21,31,6,0,2,17,0,0,23,47,11,3,1,.187,.285,.259,.544
Yordan Alvarez,HOU,DH,28,48,165,17,45,8,0,6,27,1,1,28,33,0,6,0,.273,.367,.430,.797
Ryan O'Hearn,SD,1B,32,50,163,22,45,6,0,4,20,0,0,16,46,0,1,3,.276,.350,.387,.737
Donovan Solano,SEA,1B,38,69,163,10,41,4,1,3,21,0,0,8,38,0,2,3,.252,.295,.344,.639
Sam Haggerty,TEX,OF,31,64,162,31,41,7,3,2,13,12,4,16,37,1,0,2,.253,.328,.370,.698
Christian Moore,LAA,2B,23,53,162,20,32,5,1,7,16,3,0,19,62,1,1,1,.198,.284,.370,.654
Hyeseong Kim,LAD,2B,27,71,161,19,45,6,1,3,17,13,1,7,52,1,0,1,.280,.314,.385,.699
Graham Pauley,MIA,3B,25,62,161,18,36,9,1,4,11,2,0,21,36,1,1,0,.224,.311,.366,.677
Yohel Pozo,STL,C,28,67,160,16,37,8,0,5,19,0,0,7,22,0,1,0,.231,.262,.375,.637
Ryan McMahon,NYY,3B,31,54,159,20,33,8,0,4,18,1,0,21,62,0,2,3,.208,.308,.333,.641
Ke'Bryan Hayes,CIN,3B,29,52,158,16,37,6,1,3,13,2,1,18,30,0,1,1,.234,.315,.342,.657
Oswald Peraza,NYY,3B,25,71,158,18,24,5,0,3,13,3,0,11,47,0,0,1,.152,.212,.241,.453
Austin Martin,MIN,OF,26,50,156,22,44,8,1,1,7,11,4,22,31,2,0,1,.282,.374,.365,.739
Heston Kjerstad,BAL,OF,27,54,156,16,30,5,2,4,19,1,0,6,45,0,1,4,.192,.240,.327,.567
Mike Yastrzemski,KC,OF,35,50,156,30,37,14,0,9,18,1,0,25,22,0,4,1,.237,.339,.500,.839
Austin Hedges,CLE,C,33,70,155,13,25,3,0,5,10,1,2,18,43,4,2,1,.161,.250,.277,.527
Blake Perkins,MIL,OF,29,54,155,25,35,6,2,3,19,7,2,15,47,0,0,1,.226,.298,.348,.646
Thairo Estrada,COL,2B,30,39,154,14,39,9,0,3,21,1,3,6,26,0,3,2,.253,.285,.370,.655
John Rave,KC,OF,28,72,153,18,30,5,0,4,14,7,2,18,46,2,1,1,.196,.283,.307,.590
Johan Rojas,PHI,OF,25,71,152,23,34,3,2,1,18,12,2,13,40,4,3,0,.224,.280,.289,.569
Jose Tena,WSH,3B,24,50,152,19,37,13,2,0,16,3,1,15,37,0,1,1,.243,.314,.355,.669
Miles Mastrobuoni,SEA,3B,30,76,152,20,38,4,0,1,12,6,3,17,29,5,1,0,.250,.324,.296,.620
Alejandro Osuna,TEX,OF,23,63,151,12,32,4,0,2,15,5,4,21,34,0,2,2,.212,.313,.278,.591
Jack Suwinski,PIT,OF,27,59,150,15,22,7,0,3,10,7,1,24,57,0,0,4,.147,.281,.253,.534
Tyler Heineman,TOR,C,34,64,149,25,43,8,1,3,20,2,0,12,31,5,2,6,.289,.361,.416,.777
Amed Rosario,WSH,3B,30,47,148,19,40,8,0,5,18,1,0,7,22,0,1,2,.270,.310,.426,.736
Jhonkensy Noel,CLE,OF,24,69,148,19,24,2,0,6,13,0,0,4,52,0,1,0,.162,.183,.297,.480
Denzel Clarke,ATH,OF,25,47,148,18,34,8,2,3,8,6,0,6,61,2,0,3,.230,.274,.372,.646
Martin Maldonado,SD,C,39,64,147,11,30,6,0,4,12,0,0,8,57,6,0,0,.204,.245,.327,.572
Jesus Sanchez,HOU,OF,28,48,146,21,29,9,0,4,12,4,1,13,40,0,0,1,.199,.269,.342,.611
David Fry,CLE,DH,30,66,146,16,25,4,0,8,23,1,0,9,58,0,0,2,.171,.229,.363,.592
LaMonte Wade,SF,1B,32,50,144,12,24,8,2,1,15,0,0,21,35,2,1,1,.167,.275,.271,.546
Dalton Rushing,LAD,C,25,53,142,15,29,5,0,4,24,0,0,10,58,0,2,1,.204,.258,.324,.582
Warming Bernabel,COL,1B,23,40,139,15,35,8,1,4,14,1,1,7,25,0,0,0,.252,.288,.410,.698
Yanquiel Fernandez,COL,OF,23,52,138,13,31,5,0,4,11,0,0,8,44,0,1,0,.225,.265,.348,.613
Bryce Teodosio,LAA,OF,26,50,138,12,28,7,2,1,7,7,1,5,47,1,2,4,.203,.248,.304,.552
Kyle Karros,COL,3B,23,43,137,20,31,4,0,1,9,0,0,15,41,0,2,2,.226,.308,.277,.585
Reese McGuire,CHC,C,31,45,133,17,30,2,0,9,24,0,0,4,27,1,2,0,.226,.245,.444,.689
Christian Encarnacion-Strand,CIN,1B,26,36,130,13,27,4,0,6,19,0,2,3,32,0,2,2,.208,.234,.377,.611
Jahmai Jones,DET,OF,28,72,129,21,37,11,1,7,23,2,0,18,32,0,0,3,.287,.387,.550,.937
Nick Fortes,MIA,C,29,59,129,11,31,6,1,2,10,0,0,7,22,2,1,2,.240,.288,.349,.637
Joshua Palacios,CWS,OF,30,51,128,11,26,4,0,3,9,0,0,12,36,1,0,4,.203,.292,.305,.597
DJ LeMahieu,NYY,2B,37,45,128,13,34,3,0,2,12,0,0,14,35,0,0,0,.266,.338,.336,.674
Derek Hill,MIA,OF,30,53,127,19,27,6,0,3,10,7,0,9,46,3,0,2,.213,.275,.331,.606
Freddy Fermin,SD,C,30,42,127,15,31,6,0,2,14,0,0,6,28,6,0,0,.244,.278,.339,.617
Marcelo Mayer,BOS,3B,23,44,127,20,29,8,1,4,10,0,2,8,41,0,1,0,.228,.272,.402,.674
Kyren Paris,LAA,OF,24,44,126,20,24,4,1,6,11,7,1,10,59,0,0,3,.190,.266,.381,.647
Andruw Monasterio,MIL,SS,28,68,126,19,34,9,0,4,16,2,1,7,32,0,0,2,.270,.319,.437,.756
Lane Thomas,CLE,OF,30,39,125,10,20,2,0,4,11,4,1,14,44,0,2,1,.160,.246,.272,.518
Curtis Mead,CWS,3B,25,41,125,12,30,8,0,0,11,1,0,3,30,0,0,4,.240,.280,.304,.584
Austin Slater,CWS,OF,33,51,123,20,29,6,1,5,11,1,0,11,35,1,0,0,.236,.299,.423,.722
James McCann,ARI,C,35,42,123,18,32,6,0,5,17,0,0,8,33,1,1,4,.260,.324,.431,.755
Jake Rogers,DET,C,30,49,123,14,23,5,2,3,19,0,0,15,39,1,2,1,.187,.277,.333,.610
CJ Kayfus,CLE,OF,24,44,123,16,27,10,1,4,19,4,0,11,38,1,1,2,.220,.292,.415,.707
Cedric Mullins,NYM,OF,31,42,121,16,22,4,1,2,10,8,0,16,35,2,2,2,.182,.284,.281,.565
Matt Mervis,MIA,1B,27,42,120,15,21,4,0,7,14,0,0,11,50,0,1,2,.175,.254,.383,.637
Emmanuel Rivera,BAL,3B,29,43,120,5,30,4,0,0,13,1,0,6,24,0,0,1,.250,.291,.283,.574
Colby Thomas,ATH,OF,25,49,120,20,27,5,0,6,19,2,1,7,49,1,3,1,.225,.267,.417,.684
Adrian Del Castillo,ARI,DH,26,44,120,9,29,6,0,4,17,0,0,8,47,0,2,1,.242,.290,.392,.682
Taylor Trammell,HOU,OF,28,52,117,15,23,7,0,3,12,3,2,17,41,0,1,0,.197,.296,.333,.629
Rowdy Tellez,TEX,1B,31,50,116,14,30,5,0,6,22,0,0,9,34,0,1,1,.259,.315,.457,.772
Brendan Rodgers,HOU,2B,29,43,115,12,22,4,0,2,11,0,1,11,46,0,1,1,.191,.266,.278,.544
Ildemaro Vargas,ARI,2B,34,38,115,12,31,2,1,3,19,0,0,2,15,1,1,2,.270,.292,.383,.675
Curtis Mead,TB,3B,25,49,115,14,26,2,1,3,8,4,1,12,33,0,1,4,.226,.318,.339,.657
Cody Freeman,TEX,2B,25,36,114,13,26,4,0,3,15,1,1,5,19,1,1,0,.228,.258,.342,.600
Kevin Newman,LAA,3B,32,57,114,13,23,2,0,2,11,1,0,1,23,1,0,0,.202,.209,.272,.481
Will Wagner,TOR,3B,27,40,114,13,27,7,0,0,7,1,0,15,26,1,0,2,.237,.336,.298,.634
Mark Canha,KC,OF,37,46,113,9,24,3,0,1,6,0,1,7,24,0,2,3,.212,.272,.265,.537
Adael Amador,COL,2B,22,41,113,5,20,7,0,1,10,1,1,11,27,3,0,1,.177,.256,.265,.521
Troy Johnston,MIA,OF,28,44,112,12,31,2,1,4,13,2,2,8,26,0,0,1,.277,.331,.420,.751
Weston Wilson,PHI,OF,31,54,111,15,22,4,0,5,17,2,3,12,34,1,0,1,.198,.282,.369,.651
Dylan Beavers,BAL,OF,24,35,110,16,25,5,1,4,14,2,2,26,36,1,0,0,.227,.375,.400,.775
Samuel Basallo,BAL,C,21,31,109,10,18,6,0,4,15,0,0,6,30,0,0,3,.165,.229,.330,.559
Braxton Fulford,COL,C,27,38,108,11,23,5,2,1,16,1,0,7,36,0,3,2,.213,.267,.324,.591
Oswaldo Cabrera,NYY,3B,27,34,107,17,26,4,0,1,11,0,1,11,25,1,1,2,.243,.322,.308,.630
Tyler Wade,SD,OF,31,60,107,13,22,1,2,0,9,1,2,15,31,4,0,1,.206,.309,.252,.561
Victor Robles,SEA,OF,28,32,106,12,26,4,1,1,9,6,2,3,26,0,2,3,.245,.281,.330,.611
Rafael Marchan,PHI,C,27,42,105,9,22,4,0,2,13,0,0,10,17,1,1,1,.210,.282,.305,.587
Justyn-Henry Malloy,DET,OF,26,52,104,15,23,6,0,1,17,0,0,20,32,0,2,1,.221,.346,.308,.654
Tyler Locklear,ARI,1B,25,31,103,11,18,0,0,3,6,3,1,10,43,0,0,3,.175,.267,.262,.529
Miguel Andujar,CIN,OF,31,34,103,14,37,7,0,4,17,0,0,6,19,0,0,1,.359,.400,.544,.944
Willie MacIver,ATH,C,29,33,102,7,19,5,0,3,9,3,0,7,27,0,0,2,.186,.252,.324,.576
Nick Martini,COL,OF,35,43,102,9,23,4,0,1,4,0,0,9,18,0,0,0,.225,.288,.294,.582
Nathaniel Lowe,BOS,1B,30,34,100,14,28,6,1,2,16,0,0,15,29,0,3,1,.280,.370,.420,.790
Chas McCormick,HOU,OF,30,66,100,13,21,5,0,1,5,2,3,9,31,5,1,1,.210,.279,.290,.569
Jonatan Clase,TOR,OF,23,34,100,10,21,3,0,2,9,3,1,10,28,1,0,1,.210,.288,.300,.588
Willi Castro,CHC,OF,28,34,100,10,17,2,1,1,6,1,1,8,27,0,0,2,.170,.245,.240,.485
Jon Berti,CHC,3B,36,53,100,12,21,2,0,0,2,11,3,5,22,0,0,2,.210,.262,.230,.492
Drew Gilbert,SF,OF,25,39,100,12,19,5,1,3,13,1,1,7,20,0,1,1,.190,.248,.350,.598
Carson Williams,TB,SS,22,32,99,11,17,3,0,5,12,2,1,6,44,1,0,0,.172,.219,.354,.573
Hunter Renfroe,KC,OF,34,35,99,5,18,6,0,0,4,0,0,8,21,0,1,0,.182,.241,.242,.483
Triston Casas,BOS,1B,26,29,99,5,18,3,0,3,11,0,0,11,27,0,0,2,.182,.277,.303,.580
Michael Helman,TEX,OF,29,38,99,18,23,5,1,5,20,4,0,7,21,3,0,1,.232,.290,.455,.745
Alan Roden,TOR,OF,26,43,98,12,20,5,1,1,8,0,1,8,24,0,3,4,.204,.283,.306,.589
Zach Dezenzo,HOU,OF,25,34,98,17,24,6,0,2,10,1,0,11,37,0,0,0,.245,.321,.367,.688
Randal Grichuk,KC,OF,34,43,97,10,20,3,0,2,5,0,0,7,22,0,0,1,.206,.267,.299,.566
Miguel Amaya,CHC,C,27,28,96,14,27,9,0,4,25,0,0,4,22,1,1,1,.281,.314,.500,.814
Nick Sogard,BOS,1B,28,30,96,13,25,8,0,0,9,2,1,5,24,0,0,3,.260,.317,.344,.661
Joey Loperfido,TOR,OF,26,41,96,12,32,4,0,4,14,1,2,4,27,1,0,3,.333,.379,.500,.879
James Outman,MIN,OF,28,37,95,11,14,4,1,4,7,1,0,8,45,0,0,1,.147,.221,.337,.558
Mickey Gasper,MIN,C,30,45,95,15,15,1,0,2,11,2,0,10,20,1,1,3,.158,.257,.232,.489
Ramon Urias,HOU,3B,31,35,94,6,21,5,0,3,10,1,0,6,28,0,1,0,.223,.267,.372,.639
Ty France,TOR,1B,31,37,94,9,26,6,0,1,8,0,0,3,20,0,2,4,.277,.320,.372,.692
Carlos Cortes,ATH,OF,28,42,94,11,29,8,1,4,14,0,0,3,20,0,2,0,.309,.323,.543,.866
Leody Taveras,SEA,OF,27,28,92,6,16,3,0,2,9,3,2,3,27,2,1,0,.174,.198,.272,.470
Zack Gelof,ATH,2B,26,30,92,12,16,3,0,2,7,1,2,7,46,1,1,0,.174,.230,.272,.502
Enmanuel Valdez,PIT,1B,27,31,91,7,19,4,2,2,12,0,0,11,16,0,0,0,.209,.294,.363,.657
Gary Sanchez,BAL,C,33,30,91,13,21,2,0,5,24,0,0,4,27,0,1,5,.231,.297,.418,.715
Alex Jackson,BAL,C,30,37,91,17,20,8,0,5,8,0,0,5,37,0,0,4,.220,.290,.473,.763
Leo Rivas,SEA,2B,28,48,90,19,22,2,0,2,9,6,0,20,24,0,0,1,.244,.387,.333,.720
Nick Fortes,TB,C,29,38,89,8,19,3,0,3,11,1,0,7,25,0,0,5,.213,.307,.348,.655
Matt Vierling,DET,OF,29,31,88,6,21,3,0,1,11,2,0,7,24,0,2,3,.239,.310,.307,.617
Brandon Lockridge,SD,OF,29,47,88,9,19,4,0,0,5,8,1,4,24,2,0,1,.216,.258,.261,.519
Cooper Hummel,HOU,OF,31,36,87,10,15,0,0,3,7,1,0,14,30,1,0,2,.172,.301,.276,.577
Ha-Seong Kim,ATL,SS,30,24,87,14,22,1,0,3,12,0,1,8,16,0,2,1,.253,.316,.368,.684
Oswald Peraza,LAA,3B,25,35,86,6,16,1,0,2,7,6,0,6,33,0,1,1,.186,.245,.267,.512
Hunter Feduccia,TB,C,28,36,86,5,13,5,0,0,8,1,0,14,28,0,2,0,.151,.265,.209,.474
Jason Heyward,SD,OF,36,34,85,9,15,2,0,2,12,0,1,6,20,0,3,0,.176,.223,.271,.494
Matt Thaiss,CWS,C,30,35,85,11,18,4,0,1,8,1,1,23,21,0,1,1,.212,.382,.294,.676
Jacob Stallings,COL,C,36,29,84,4,12,3,0,0,6,0,0,5,31,1,0,3,.143,.217,.179,.396
DaShawn Keirsey,MIN,OF,28,74,84,11,9,0,0,2,6,10,3,2,33,1,0,1,.107,.138,.179,.317
Ha-Seong Kim,TB,SS,30,24,84,5,18,3,0,2,5,6,1,8,23,0,0,1,.214,.290,.321,.611
J.C. Escarra,NYY,C,30,40,84,5,17,5,0,2,11,1,0,11,14,0,2,1,.202,.296,.333,.629
Alex Freeland,LAD,3B,24,29,84,10,16,2,1,2,6,1,0,11,35,1,0,1,.190,.292,.310,.602
Tim Anderson,LAA,2B,32,31,83,8,17,3,0,0,3,1,1,3,29,1,0,3,.205,.258,.241,.499
Nasim Nunez,WSH,SS,25,39,82,13,19,2,0,4,13,9,1,8,20,1,1,0,.232,.297,.402,.699
Nate Eaton,BOS,OF,29,41,81,16,24,4,0,1,4,9,2,6,19,1,1,1,.296,.348,.383,.731
Liover Peguero,PIT,SS,25,33,80,9,16,1,0,4,8,4,0,6,25,0,0,2,.200,.273,.363,.636
Jeimer Candelario,CIN,3B,32,22,80,3,9,2,0,2,10,0,1,9,29,0,2,0,.113,.198,.213,.411
Jorge Mateo,BAL,SS,30,43,79,9,14,4,0,1,3,15,2,4,30,0,0,0,.177,.217,.266,.483
Leody Taveras,TEX,OF,27,30,79,7,19,3,1,1,8,6,1,2,23,1,0,0,.241,.259,.342,.601
Griffin Conine,MIA,OF,28,24,79,13,20,7,0,2,8,0,1,7,25,0,0,0,.253,.314,.418,.732
Jose Caballero,NYY,SS,29,40,79,15,21,6,0,3,9,15,3,14,18,1,1,0,.266,.372,.456,.828
Tristan Gray,TB,2B,29,30,78,9,18,5,0,3,9,0,0,6,19,1,1,0,.231,.282,.410,.692
Will Wilson,CLE,2B,27,34,78,7,15,4,0,0,2,2,0,7,34,5,0,1,.192,.267,.244,.511
Bob Seymour,TB,1B,27,26,78,9,16,1,1,1,5,1,0,4,32,0,0,1,.205,.253,.282,.535
Chris Taylor,LAA,OF,35,30,78,11,14,5,0,2,10,2,1,5,29,0,1,6,.179,.278,.321,.599
Andrew Knizner,SF,C,31,33,77,12,17,1,1,1,5,0,0,7,10,1,1,2,.221,.299,.299,.598
Bryce Johnson,SD,OF,30,55,76,9,26,4,0,1,8,4,1,3,19,3,0,2,.342,.383,.434,.817
Alex Call,LAD,OF,31,38,73,13,18,4,0,2,5,1,0,10,19,1,1,0,.247,.333,.384,.717
Brett Harris,ATH,3B,27,32,73,11,20,5,0,0,5,1,0,7,21,1,1,2,.274,.349,.342,.691
Jonah Bride,MIN,3B,30,33,72,4,15,2,0,0,3,0,0,6,24,0,1,1,.208,.275,.236,.511
Hayden Senger,NYM,C,28,33,72,8,13,1,0,0,4,0,0,3,22,1,1,1,.181,.221,.194,.415
Matt Thaiss,TB,C,30,25,71,5,16,2,1,0,8,0,0,6,25,1,0,2,.225,.304,.282,.586
Johnathan Rodriguez,CLE,OF,26,31,71,6,14,4,1,2,10,1,0,6,22,0,0,0,.197,.260,.366,.626
Jorge Barrosa,ARI,OF,25,33,71,8,10,3,0,1,7,0,0,2,22,0,3,1,.141,.169,.225,.394
Eric Haase,MIL,C,33,30,70,11,16,3,0,2,9,0,0,4,31,1,0,2,.229,.289,.357,.646
Jesse Winker,NYM,DH,32,26,70,8,16,5,2,1,10,1,0,9,21,0,2,0,.229,.309,.400,.709
Jacob Melton,HOU,OF,25,32,70,7,11,0,1,0,7,7,2,6,29,0,0,1,.157,.234,.186,.420
Cavan Biggio,KC,OF,30,37,69,9,12,2,0,1,4,1,0,11,21,2,0,1,.174,.296,.246,.542
