Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Bryson Stott,PHI,2B,28,147,499,66,128,22,3,13,66,24,5,54,91,2,4,1,.257,.328,.391,.719
George Springer,TOR,OF,36,140,498,106,154,27,1,32,84,18,1,69,111,0,4,8,.309,.399,.560,.959
Alec Burleson,STL,OF,27,139,497,54,144,26,2,18,69,5,1,39,79,1,4,3,.290,.343,.459,.802
Jonathan India,KC,2B,29,136,497,63,116,29,0,9,45,0,4,54,106,1,2,13,.233,.323,.346,.669
Josh Smith,TEX,3B,28,144,495,70,124,23,2,10,35,12,3,55,100,3,1,8,.251,.335,.366,.701
Trent Grisham,NYY,OF,29,143,494,87,116,9,1,34,74,3,2,82,137,0,1,4,.235,.348,.464,.812
Jeremy Pena,HOU,SS,28,125,493,68,150,30,2,17,62,20,2,35,93,1,2,12,.304,.363,.477,.840
Gavin Sheets,SD,OF,29,145,492,57,124,28,1,19,71,2,1,44,107,0,4,5,.252,.317,.429,.746
Masyn Winn,STL,SS,23,129,491,72,124,27,0,9,51,9,5,34,102,2,2,8,.253,.310,.363,.673
Xander Bogaerts,SD,SS,33,136,491,63,129,30,0,11,53,20,2,48,94,1,8,4,.263,.328,.391,.719
Willson Contreras,STL,1B,33,135,490,70,126,31,1,20,80,5,1,44,142,1,4,23,.257,.344,.447,.791
Paul Goldschmidt,NYY,1B,38,146,489,76,134,31,1,10,45,5,1,36,100,0,2,4,.274,.328,.403,.731
Wyatt Langford,TEX,OF,24,134,489,73,118,25,1,22,62,22,6,74,151,0,5,5,.241,.344,.431,.775
Nolan Schanuel,LAA,1B,24,132,488,64,129,23,1,12,53,5,1,59,71,3,4,10,.264,.353,.389,.742
Byron Buxton,MIN,OF,32,126,488,97,129,21,7,35,83,24,0,41,148,0,6,7,.264,.327,.551,.878
Luis Garcia,WSH,2B,25,139,488,67,123,28,1,16,66,14,5,27,84,0,9,2,.252,.289,.412,.701
Marcell Ozuna,ATL,DH,35,145,487,61,113,19,0,21,68,0,0,94,144,0,7,3,.232,.355,.400,.755
Brooks Lee,MIN,SS,25,139,487,50,115,15,1,16,64,3,1,31,92,0,5,4,.236,.285,.370,.655
Jacob Wilson,ATH,SS,23,125,486,62,151,26,0,13,63,5,2,27,39,2,1,7,.311,.355,.444,.799
Josh Jung,TEX,3B,28,131,482,53,121,23,1,14,61,4,1,27,129,0,0,2,.251,.294,.390,.684
Shea Langeliers,ATH,C,28,123,481,73,133,32,0,31,72,7,1,36,103,0,5,1,.277,.325,.536,.861
Ketel Marte,ARI,2B,32,126,480,87,136,28,0,28,72,4,2,64,83,0,3,9,.283,.376,.517,.893
Andrew McCutchen,PIT,DH,39,135,477,51,114,22,0,13,57,1,1,67,118,0,3,2,.239,.333,.367,.700
Eric Wagaman,MIA,1B,28,140,476,56,119,28,3,9,53,4,1,32,100,0,5,1,.250,.296,.378,.674
Jorge Polanco,SEA,2B,32,138,471,64,125,30,0,26,78,6,3,42,82,3,5,3,.265,.326,.495,.821
Oneil Cruz,PIT,OF,27,135,471,62,94,18,3,20,61,38,5,64,174,0,5,4,.200,.298,.378,.676
Marcus Semien,TEX,2B,35,127,470,62,108,16,1,15,62,11,1,50,93,0,9,5,.230,.305,.364,.669
Joey Ortiz,MIL,SS,27,149,470,62,108,18,1,7,45,14,3,27,74,6,0,3,.230,.276,.317,.593
Kyle Manzardo,CLE,1B,25,142,470,47,110,19,2,27,70,2,0,48,135,0,5,8,.234,.313,.455,.768
Josh Bell,WSH,1B,33,140,468,54,111,16,1,22,63,0,3,57,88,0,3,5,.237,.325,.417,.742
Ben Rice,NYY,C,27,138,467,74,119,28,4,26,65,3,2,50,100,0,2,9,.255,.337,.499,.836
Alec Bohm,PHI,3B,29,120,464,53,133,18,3,11,59,2,0,29,82,0,6,5,.287,.331,.409,.740
